harmonic()[0011] harmonic()[0011]
rjump(-2)(5) rjump(-2)(5)
main()[000100] main()[000100]
transfer(_scratch_1,_Gx)[1] transfer(_scratch_1,_Gx)[1]
main()[0011101] main()[0011101]
main()[00110010] main()[00110010]
main()[000100001] main()[000100001]
harmonic()[00111] harmonic()[00111]
main()[0110000] main()[0110000]
transfer(_scratch_1,_Gdenom)[] transfer(_scratch_1,_Gdenom)[]
main()[00000011] main()[00000011]
main()[00110100] main()[00110100]
transfer(_scratch_1,_Gi)[1] transfer(_scratch_1,_Gi)[1]
main()[0110010] main()[0110010]
main()[00001110] main()[00001110]
harmonic()[10] harmonic()[10]
main()[100001001] main()[100001001]
dispatch.6 dispatch.6
square()[011] square()[011]
init.f1 rjump(-26)(4+)
harmonic()[11] harmonic()[11]
transfer(_Gi,_scratch_2,_scratch_3)[0] transfer(_Gi,_scratch_2,_scratch_3)[0]
main()[00010010] main()[00010010]
rjump(-102)(2) rjump(-102)(3+)
main()[0000101011] main()[0000101011]
main()[0110] main()[0110]
nextstate_2 nextstate_2
rjump(-2)(2) rjump(19)(2+)
transfer(_Gnum,_scratch_1,_scratch_3)[01] transfer(_Gnum,_scratch_1,_scratch_3)[01]
rjump(-26)(4+) rjump(-26)(4+)
transfer(_Glcm,_Gnum,_scratch_1)[01] transfer(_Glcm,_Gnum,_scratch_1)[01]
reg_incr.0 reg_incr.0
main()[000011011] main()[000011011]
main()[0000] main()[0000]
main()[100000111] main()[100000111]
main()[00111] main()[00111]
main()[1000001111] main()[1000001111]
transfer(_scratch_1,_Gx)[] transfer(_scratch_1,_Gx)[]
transfer(_Gnum,_Glcm,_scratch_1)[] transfer(_Gnum,_Glcm,_scratch_1)[]
main()[10000] main()[10000]
main()[0011100] main()[0011100]
rjump(102)(2) rjump(-26)(2)
dispatch.2 dispatch.2
main()[00000] main()[00000]
main()[0110011] main()[0110011]
dispatch.4.carry dispatch.4.carry
main()[1000001] main()[1000001]
transfer(_Gx,_scratch_1,_scratch_3)[] transfer(_Gx,_scratch_1,_scratch_3)[]
dispatch.5 dispatch.5
transfer(_scratch_1,_Gi)[] transfer(_scratch_1,_Gi)[]
main()[000010101] main()[000010101]
transfer(_Gdenom,_scratch_1,_scratch_2)[0] transfer(_Gdenom,_scratch_1,_scratch_2)[0]
main()[001101] main()[001101]
transfer(_Gnum,_Glcm,_scratch_1)[01] transfer(_Gnum,_Glcm,_scratch_1)[01]
transfer(_Gdenom,_scratch_2,_scratch_3)[] transfer(_Gdenom,_scratch_2,_scratch_3)[]
rjump(-102)(3+) rjump(-102)(3+)
transfer(_Gx,_Gi,_scratch_1)[] transfer(_Gx,_Gi,_scratch_1)[]
main()[000001] main()[000001]
main()[0001001000] main()[0001001000]
transfer(_scratch_2,_Gdenom)[] transfer(_scratch_2,_Gdenom)[]
main()[0000001] main()[0000001]
main()[0000000] main()[0000000]
harmonic()[0111] harmonic()[0111]
main()[00001010] main()[00001010]
transfer(_Glcm)[] transfer(_Glcm)[]
transfer(_Gdenom,_scratch_1,_scratch_2)[00] transfer(_Gdenom,_scratch_1,_scratch_2)[00]
harmonic()[1100] harmonic()[1100]
main()[0011001] main()[0011001]
rjump(-16)(4) rjump(-16)(4)
main()[01] main()[01]
dispatch.2.carry dispatch.2.carry
main()[00010] main()[00010]
return.0 return.0
dec.shift_1 dec.shift_1
transfer(_Gdenom,_scratch_1,_scratch_3)[0] transfer(_Gdenom,_scratch_1,_scratch_3)[0]
main()[0001010] main()[0001010]
main()[0000101100] main()[0000101100]
main()[0000100] main()[0000100]
return2.1 return2.1
transfer(_Glcm)[1] transfer(_Glcm)[1]
main()[00001000] main()[00001000]
transfer(_scratch_3,_Gnum)[] transfer(_scratch_3,_Gnum)[]
dispatch.1.carry dispatch.1.carry
dec.check dec.check
transfer(_Glcm,_Gnum,_scratch_1)[00] transfer(_Glcm,_Gnum,_scratch_1)[00]
rjump(22)(2) rjump(19)(3)
harmonic()[101] harmonic()[101]
rjump(19)(2+) rjump(19)(2+)
rjump(-26)(2) rjump(-26)(2)
harmonic()[0] harmonic()[0]
main()[00010101] main()[00010101]
main()[0000110110] main()[0000110110]
main()[0000110111] main()[0000110111]
rjump(-16)(3) dec.scan_done
dispatch.9.carry dispatch.9.carry
main()[0000101] main()[0000101]
main()[1000] main()[1000]
transfer(_Glcm,_scratch_2,_scratch_3)[0] transfer(_Glcm,_scratch_2,_scratch_3)[0]
reg_decr.3 reg_decr.3
transfer(_Glcm,_Gi,_scratch_1)[0] transfer(_Glcm,_Gi,_scratch_1)[0]
main()[011001] main()[011001]
harmonic()[000010] harmonic()[000010]
transfer(_Gnum)[] transfer(_Gnum)[]
rjump(26)(4) rjump(-26)(3+)
main()[0000010111] main()[0000010111]
transfer(_scratch_3,_Gx)[] transfer(_scratch_3,_Gx)[]
main()[0011011] main()[0011011]
transfer(_Gc,_scratch_2,_scratch_3)[] transfer(_Gc,_scratch_2,_scratch_3)[]
main()[00111001] main()[00111001]
transfer(_Gi,_scratch_2,_scratch_3)[01] transfer(_Gi,_scratch_2,_scratch_3)[01]
transfer(_Gi)[] transfer(_Gi)[]
main()[000010110] main()[000010110]
rjump(-102)(4) rjump(-102)(4)
reg_decr.5 reg_decr.5
main()[1000010010] main()[1000010010]
reg_decr.0 reg_decr.0
rjump(102)(3) rjump(102)(3)
dispatch.0.carry dispatch.0.carry
dec.restore dec.restore
square()[000] square()[000]
transfer(_Gx,_scratch_1,_scratch_3)[0] transfer(_Gx,_scratch_1,_scratch_3)[0]
main()[0000001010] main()[0000001010]
transfer(_scratch_1,_Gnum)[] transfer(_scratch_1,_Gnum)[]
dispatch.7.carry dispatch.7.carry
transfer(_Gdenom,_Gc,_scratch_1)[] transfer(_Gdenom,_Gc,_scratch_1)[]
init.f2 init.f2
main()[0000111] main()[0000111]
main()[000] main()[000]
rjump(102)(7+) rjump(102)(7+)
reg_decr.6 reg_decr.6
harmonic()[1] harmonic()[1]
transfer(_Gdenom)[] transfer(_Gdenom)[]
main()[0001000] main()[0001000]
